source_text,target_text
"Saudi Employment Contract","عقد العمل السعودي"
"End of Service Benefit","مكافأة نهاية الخدمة"
"Saudi Sick Leave","الإجازة المرضية السعودية"
"Overtime Request","طلب عمل إضافي"
"GOSI Contribution","اشتراك التأمينات الاجتماعية"
"Nitaqat Record","سجل نطاقات"
"Work Permit Iqama","تصريح العمل والإقامة"
"Maternity Paternity Leave","إجازة الأمومة والأبوة"
"Termination Notice","إشعار إنهاء الخدمة"
"Saudi HR Settings","إعدادات نظام الموارد البشرية السعودي"
"Saudi HR","الموارد البشرية السعودية"
"Employee","موظف"
"Company","شركة"
"Department","قسم"
"Designation","مسمى وظيفي"
"Contract Type","نوع العقد"
"Contract Status","حالة العقد"
"Start Date","تاريخ البدء"
"End Date","تاريخ الانتهاء"
"Probation Period","فترة التجربة"
"Basic Salary","الراتب الأساسي"
"Housing Allowance","بدل السكن"
"Transport Allowance","بدل المواصلات"
"Total Salary","إجمالي الراتب"
"Nationality","الجنسية"
"Iqama Number","رقم الإقامة"
"Termination Reason","سبب إنهاء الخدمة"
"Years of Service","سنوات الخدمة"
"Gross EOSB","إجمالي مكافأة نهاية الخدمة"
"Net EOSB","صافي مكافأة نهاية الخدمة"
"Resignation Factor","معامل الاستقالة"
"Payment Status","حالة الدفع"
"Pending","معلق"
"Paid","مدفوع"
"Overtime Hours","ساعات العمل الإضافي"
"Overtime Amount","مبلغ العمل الإضافي"
"Approval Status","حالة الموافقة"
"Approved","موافق"
"Rejected","مرفوض"
"Contribution Base","وعاء الاشتراك"
"Employee Contribution","اشتراك الموظف"
"Employer Contribution","اشتراك صاحب العمل"
"Total Contribution","إجمالي الاشتراك"
"Saudization Percentage","نسبة السعودة"
"Saudi Employees","موظفون سعوديون"
"Non-Saudi Employees","موظفون غير سعوديين"
"Total Employees","إجمالي الموظفين"
"Compliance Status","حالة الامتثال"
"Compliant","ممتثل"
"Non-Compliant","غير ممتثل"
"At Risk","في خطر"
"Iqama Status","حالة الإقامة"
"Active","نشط"
"Expiring Soon","ينتهي قريباً"
"Expired","منتهي"
"Days to Expiry","الأيام المتبقية للانتهاء"
"Entitled Days","الأيام المستحقة"
"Leave Start Date","تاريخ بداية الإجازة"
"Leave End Date","تاريخ نهاية الإجازة"
"Full Pay","أجر كامل"
"Total Leave Pay","إجمالي أجر الإجازة"
"Notice Period","فترة الإشعار"
"Notice Start Date","تاريخ بداية الإشعار"
"Last Working Day","آخر يوم عمل"
"During Probation Period","خلال فترة التجربة"
"GOSI Monthly Report","تقرير التأمينات الاجتماعية الشهري"
"EOSB Calculation Report","تقرير حساب مكافأة نهاية الخدمة"
"Work Permit Expiry Report","تقرير انتهاء تصاريح العمل"
"Nitaqat Compliance Report","تقرير الامتثال لنطاقات"
"Saudi Leave Balance Report","تقرير رصيد الإجازات السنوية"
"Contract Expiry Report","تقرير انتهاء العقود"
"Joining Date","تاريخ الانضمام"
"Termination Date","تاريخ الإنهاء"
"Calculation Notes","ملاحظات الحساب"
"Medical Certificate Attached","تم إرفاق الشهادة الطبية"
"Hospital","المستشفى"
"Pay Rate","نسبة الأجر"
"Full Pay Days","أيام الأجر الكامل"
"Partial Pay Days","أيام الأجر الجزئي"
"Saudi Annual Leave","إجازة سنوية سعودية"
"Saudi Sick Leave","إجازة مرضية سعودية"
"Saudi Maternity Leave","إجازة أمومة سعودية"
"Saudi Paternity Leave","إجازة أبوة سعودية"
"Hajj Leave","إجازة الحج"
"Bereavement Leave","إجازة وفاة"
"Total Probation cannot exceed 180 days","لا يجوز أن يتجاوز مجموع فترة التجربة 180 يوماً"
"Cannot submit unless Approval Status is Approved","لا يمكن الاعتماد إلا إذا كانت حالة الموافقة 'موافق'"
"Medical certificate must be attached before submitting","يجب إرفاق الشهادة الطبية قبل الاعتماد"
"Don't forget to create an End of Service Benefit document","لا تنسَ إنشاء وثيقة مكافأة نهاية الخدمة"
"GOSI contribution base capped at","تم تقييد وعاء الاشتراك بـ"
"Sick Leave Alert","تنبيه إجازة مرضية"
"Employee has exceeded 90 sick days","تجاوز الموظف 90 يوماً مرضياً"
"Termination is permissible per Art. 117","يجوز إنهاء الخدمة وفقاً للمادة 117"
"Attendance Location","موقع الحضور"
"Location Name / اسم الموقع","موقع الحضور"
"Branch / الفرع","الفرع"
"Active / نشط","نشط"
"GPS Coordinates / إحداثيات GPS","إحداثيات GPS"
"Latitude / خط العرض","خط العرض"
"Longitude / خط الطول","خط الطول"
"Allowed Radius (meters) / النطاق المسموح به (متر)","النطاق المسموح به (متر)"
"Map Preview / معاينة الموقع على الخريطة","معاينة الموقع على الخريطة"
"Settings / الإعدادات","الإعدادات"
"Location Name","اسم الموقع"
"Allowed Radius","النطاق المسموح به"
"Mobile Attendance","حضور الجوال"
"GPS Attendance","الحضور عبر GPS"
"Attendance","الحضور"
"Employee Checkin","تسجيل حضور الموظف"
"You are {0} meters from the branch. Allowed radius is {1} meters.","أنت بعيد عن الفرع بمسافة {0} متر. الحد المسموح به هو {1} متر."
"Could not get GPS coordinates. Please allow location permission and try again.","تعذّر الحصول على إحداثيات GPS. يرجى السماح بإذن الموقع وإعادة المحاولة."
"Check-in recorded successfully at {0}","تم تسجيل الحضور بنجاح في {0}"
"Check-out recorded. Total working hours: {0}.","تم تسجيل الانصراف. مجموع ساعات العمل: {0} ساعة."
"Check-out recorded successfully at {0}","تم تسجيل الانصراف بنجاح في {0}"
"Your account is not linked to an active employee record.","لم يتم ربط حسابك بسجل موظف نشط."
